file_id,row,column,OD_730_pr_raw,blank_OD_730,OD_730_pr_bc,fl_raw,blank_fl,fl_bc,sample_id,sample_type,sample_vol,blank_vol,strain,induction,timepoint,OD_730_pr,fl
20210930_t24.xls,C,2,0.4108,0.3453,0.0655,14.3333,15.6667,-1.3333,20210930_24_3,sample,200,600,J23100,-,24,0.262,-5.3333
20210930_t24.xls,C,3,0.4138,0.3453,0.0685,14.3333,15.6667,-1.3333,20210930_24_3,sample,200,600,J23100,-,24,0.2739,-5.3333
20210930_t24.xls,D,1,0.4002,0.3453,0.0548,15.3333,15.6667,-0.3333,20210930_24_4,sample,200,600,J23100,+,24,0.2194,-1.3333
20210930_t24.xls,D,2,0.4169,0.3453,0.0715,14,15.6667,-1.6667,20210930_24_4,sample,200,600,J23100,+,24,0.2862,-6.6667
20210930_t24.xls,D,3,0.4118,0.3453,0.0664,15,15.6667,-0.6667,20210930_24_4,sample,200,600,J23100,+,24,0.2658,-2.6667
20210930_t24.xls,E,1,0.4084,0.3453,0.0631,15,15.6667,-0.6667,20210930_24_5,sample,200,600,Prha,-,24,0.2523,-2.6667
20210930_t24.xls,E,2,0.4135,0.3453,0.0682,14.6667,15.6667,-1,20210930_24_5,sample,200,600,Prha,-,24,0.2728,-4
20210930_t24.xls,E,3,0.4062,0.3453,0.0609,14.6667,15.6667,-1,20210930_24_5,sample,200,600,Prha,-,24,0.2436,-4
20210930_t24.xls,F,1,0.3888,0.3453,0.0435,15.6667,15.6667,0,20210930_24_6,sample,200,600,Prha,+,24,0.1739,0
20210930_t24.xls,F,2,0.4102,0.3453,0.0649,15,15.6667,-0.6667,20210930_24_6,sample,200,600,Prha,+,24,0.2596,-2.6667
20210930_t24.xls,F,3,0.4063,0.3453,0.061,15,15.6667,-0.6667,20210930_24_6,sample,200,600,Prha,+,24,0.2439,-2.6667
20210930_t24.xls,G,1,0.4215,0.3453,0.0762,14.3333,15.6667,-1.3333,20210930_24_7,sample,200,600,petE,-,24,0.3048,-5.3333
20210930_t24.xls,G,2,0.4138,0.3453,0.0684,15.6667,15.6667,0,20210930_24_7,sample,200,600,petE,-,24,0.2738,0
20210930_t24.xls,G,3,0.4195,0.3453,0.0742,15.3333,15.6667,-0.3333,20210930_24_7,sample,200,600,petE,-,24,0.2967,-1.3333
20210930_t24.xls,H,1,0.4,0.3453,0.0546,15.3333,15.6667,-0.3333,20210930_24_8,sample,800,0,petE,+,24,0.0546,-0.3333
20210930_t24.xls,H,2,0.4051,0.3453,0.0598,15.6667,15.6667,0,20210930_24_8,sample,800,0,petE,+,24,0.0598,0
20210930_t24.xls,H,3,0.4072,0.3453,0.0619,15.6667,15.6667,0,20210930_24_8,sample,800,0,petE,+,24,0.0619,0
20210930_t3.xls,A,1,0.4048,0.339,0.0658,11.3333,10.8333,0.5,20210930_3_1,sample,800,0,EVC,-,3,0.0658,0.5
20210930_t3.xls,A,2,0.4017,0.339,0.0627,11,10.8333,0.1667,20210930_3_1,sample,800,0,EVC,-,3,0.0627,0.1667
20210930_t3.xls,A,3,0.4043,0.339,0.0653,10.6667,10.8333,-0.1667,20210930_3_1,sample,800,0,EVC,-,3,0.0653,-0.1667
20210930_t3.xls,B,1,0.3946,0.339,0.0556,11.3333,10.8333,0.5,20210930_3_2,sample,800,0,EVC,+,3,0.0556,0.5
20210930_t3.xls,B,2,0.397,0.339,0.058,10.3333,10.8333,-0.5,20210930_3_2,sample,800,0,EVC,+,3,0.058,-0.5
20210930_t3.xls,B,3,0.4014,0.339,0.0624,10.3333,10.8333,-0.5,20210930_3_2,sample,800,0,EVC,+,3,0.0624,-0.5
20210930_t3.xls,C,1,0.3955,0.339,0.0565,11.3333,10.8333,0.5,20210930_3_3,sample,800,0,J23100,-,3,0.0565,0.5
20210930_t3.xls,C,2,0.4103,0.339,0.0713,11.3333,10.8333,0.5,20210930_3_3,sample,800,0,J23100,-,3,0.0713,0.5
20210930_t3.xls,C,3,0.4117,0.339,0.0727,11.3333,10.8333,0.5,20210930_3_3,sample,800,0,J23100,-,3,0.0727,0.5
20210930_t3.xls,D,1,0.3989,0.339,0.0599,11,10.8333,0.1667,20210930_3_4,sample,800,0,J23100,+,3,0.0599,0.1667
20210930_t3.xls,D,2,0.4169,0.339,0.0779,10.3333,10.8333,-0.5,20210930_3_4,sample,800,0,J23100,+,3,0.0779,-0.5
20210930_t3.xls,D,3,0.4089,0.339,0.0699,11,10.8333,0.1667,20210930_3_4,sample,800,0,J23100,+,3,0.0699,0.1667
20210930_t3.xls,E,1,0.4102,0.339,0.0712,10.3333,10.8333,-0.5,20210930_3_5,sample,800,0,Prha,-,3,0.0712,-0.5
20210930_t3.xls,E,2,0.4221,0.339,0.0831,10.3333,10.8333,-0.5,20210930_3_5,sample,800,0,Prha,-,3,0.0831,-0.5
20210930_t3.xls,E,3,0.4147,0.339,0.0757,11.3333,10.8333,0.5,20210930_3_5,sample,800,0,Prha,-,3,0.0757,0.5
20210930_t3.xls,F,1,0.4048,0.339,0.0658,11,10.8333,0.1667,20210930_3_6,sample,800,0,Prha,+,3,0.0658,0.1667
20210930_t3.xls,F,2,0.4236,0.339,0.0846,10,10.8333,-0.8333,20210930_3_6,sample,800,0,Prha,+,3,0.0846,-0.8333
20210930_t3.xls,F,3,0.4109,0.339,0.0719,10.6667,10.8333,-0.1667,20210930_3_6,sample,800,0,Prha,+,3,0.0719,-0.1667
20210930_t3.xls,G,1,0.4073,0.339,0.0683,11.3333,10.8333,0.5,20210930_3_7,sample,800,0,petE,-,3,0.0683,0.5
20210930_t3.xls,G,2,0.408,0.339,0.069,10,10.8333,-0.8333,20210930_3_7,sample,800,0,petE,-,3,0.069,-0.8333
20210930_t3.xls,G,3,0.4141,0.339,0.0751,11,10.8333,0.1667,20210930_3_7,sample,800,0,petE,-,3,0.0751,0.1667
20210930_t3.xls,H,1,0.412,0.339,0.073,10.6667,10.8333,-0.1667,20210930_3_8,sample,800,0,petE,+,3,0.073,-0.1667
20210930_t3.xls,H,2,0.4041,0.339,0.0651,10.3333,10.8333,-0.5,20210930_3_8,sample,800,0,petE,+,3,0.0651,-0.5
20210930_t3.xls,H,3,0.4093,0.339,0.0703,11.3333,10.8333,0.5,20210930_3_8,sample,800,0,petE,+,3,0.0703,0.5
20210930_t4.xls,A,1,0.4034,0.3422,0.0612,11,10.9167,0.0833,20210930_4_1,sample,800,0,EVC,-,4,0.0612,0.0833
20210930_t4.xls,A,2,0.3933,0.3422,0.0511,10.6667,10.9167,-0.25,20210930_4_1,sample,800,0,EVC,-,4,0.0511,-0.25
20210930_t4.xls,A,3,0.4071,0.3422,0.0649,11,10.9167,0.0833,20210930_4_1,sample,800,0,EVC,-,4,0.0649,0.0833
20210930_t4.xls,B,1,0.4072,0.3422,0.065,10.6667,10.9167,-0.25,20210930_4_2,sample,800,0,EVC,+,4,0.065,-0.25
20210930_t4.xls,B,2,0.4134,0.3422,0.0712,9.6667,10.9167,-1.25,20210930_4_2,sample,800,0,EVC,+,4,0.0712,-1.25
20210930_t4.xls,B,3,0.4158,0.3422,0.0736,10.3333,10.9167,-0.5833,20210930_4_2,sample,800,0,EVC,+,4,0.0736,-0.5833
20210930_t4.xls,C,1,0.4132,0.3422,0.071,10.6667,10.9167,-0.25,20210930_4_3,sample,800,0,J23100,-,4,0.071,-0.25
20210930_t4.xls,C,2,0.4232,0.3422,0.081,11,10.9167,0.0833,20210930_4_3,sample,800,0,J23100,-,4,0.081,0.0833
20210930_t4.xls,C,3,0.4241,0.3422,0.0819,11.3333,10.9167,0.4167,20210930_4_3,sample,800,0,J23100,-,4,0.0819,0.4167
20210930_t4.xls,D,1,0.4058,0.3422,0.0636,11,10.9167,0.0833,20210930_4_4,sample,800,0,J23100,+,4,0.0636,0.0833
20210930_t4.xls,D,2,0.4279,0.3422,0.0857,11,10.9167,0.0833,20210930_4_4,sample,800,0,J23100,+,4,0.0857,0.0833
20210930_t4.xls,D,3,0.4282,0.3422,0.086,11,10.9167,0.0833,20210930_4_4,sample,800,0,J23100,+,4,0.086,0.0833
20210930_t4.xls,E,1,0.4077,0.3422,0.0655,10.3333,10.9167,-0.5833,20210930_4_5,sample,800,0,Prha,-,4,0.0655,-0.5833
20210930_t4.xls,E,2,0.4286,0.3422,0.0864,10.6667,10.9167,-0.25,20210930_4_5,sample,800,0,Prha,-,4,0.0864,-0.25
20210930_t4.xls,E,3,0.4275,0.3422,0.0853,10.3333,10.9167,-0.5833,20210930_4_5,sample,800,0,Prha,-,4,0.0853,-0.5833
20210930_t4.xls,F,1,0.4223,0.3422,0.0801,10.6667,10.9167,-0.25,20210930_4_6,sample,800,0,Prha,+,4,0.0801,-0.25
20210930_t4.xls,F,2,0.4294,0.3422,0.0872,9.6667,10.9167,-1.25,20210930_4_6,sample,800,0,Prha,+,4,0.0872,-1.25
