sample_id,measurement_name,block_name,nm,abs,strain,induction,timepoint,norm_abs
20210930_0_1,2,20210930,707,0.2698,EVC,-,0,0.1938
20210930_0_1,2,20210930,708,0.2687,EVC,-,0,0.1856
20210930_0_1,2,20210930,709,0.2677,EVC,-,0,0.1777
20210930_0_1,2,20210930,710,0.2667,EVC,-,0,0.1701
20210930_0_1,2,20210930,711,0.2659,EVC,-,0,0.1634
20210930_0_1,2,20210930,712,0.2649,EVC,-,0,0.156
20210930_0_1,2,20210930,713,0.2641,EVC,-,0,0.1494
20210930_0_1,2,20210930,714,0.2632,EVC,-,0,0.1429
20210930_0_1,2,20210930,715,0.2625,EVC,-,0,0.1369
20210930_0_1,2,20210930,716,0.2617,EVC,-,0,0.1306
20210930_0_1,2,20210930,717,0.2609,EVC,-,0,0.1249
20210930_0_1,2,20210930,718,0.2602,EVC,-,0,0.1192
20210930_0_1,2,20210930,719,0.2595,EVC,-,0,0.1139
20210930_0_1,2,20210930,720,0.2588,EVC,-,0,0.1083
20210930_0_1,2,20210930,721,0.2582,EVC,-,0,0.1034
20210930_0_1,2,20210930,722,0.2575,EVC,-,0,0.0978
20210930_0_1,2,20210930,723,0.2569,EVC,-,0,0.0931
20210930_0_1,2,20210930,724,0.2563,EVC,-,0,0.0885
20210930_0_1,2,20210930,725,0.2557,EVC,-,0,0.0842
20210930_0_1,2,20210930,726,0.2551,EVC,-,0,0.0798
20210930_0_1,2,20210930,727,0.2546,EVC,-,0,0.0752
20210930_0_1,2,20210930,728,0.254,EVC,-,0,0.071
20210930_0_1,2,20210930,729,0.2535,EVC,-,0,0.0669
20210930_0_1,2,20210930,730,0.253,EVC,-,0,0.0629
20210930_0_1,2,20210930,731,0.2525,EVC,-,0,0.059
20210930_0_1,2,20210930,732,0.252,EVC,-,0,0.0556
20210930_0_1,2,20210930,733,0.2515,EVC,-,0,0.0515
20210930_0_1,2,20210930,734,0.2511,EVC,-,0,0.0484
20210930_0_1,2,20210930,735,0.2506,EVC,-,0,0.0445
20210930_0_1,2,20210930,736,0.2503,EVC,-,0,0.0416
20210930_0_1,2,20210930,737,0.2498,EVC,-,0,0.038
20210930_0_1,2,20210930,738,0.2494,EVC,-,0,0.0348
20210930_0_1,2,20210930,739,0.2489,EVC,-,0,0.031
20210930_0_1,2,20210930,740,0.2485,EVC,-,0,0.0279
20210930_0_1,2,20210930,741,0.2481,EVC,-,0,0.0248
20210930_0_1,2,20210930,742,0.2477,EVC,-,0,0.0221
20210930_0_1,2,20210930,743,0.2474,EVC,-,0,0.0192
20210930_0_1,2,20210930,744,0.247,EVC,-,0,0.016
20210930_0_1,2,20210930,745,0.2467,EVC,-,0,0.0137
20210930_0_1,2,20210930,746,0.2463,EVC,-,0,0.0111
20210930_0_1,2,20210930,747,0.2459,EVC,-,0,0.0077
20210930_0_1,2,20210930,748,0.2456,EVC,-,0,0.0055
20210930_0_1,2,20210930,749,0.2453,EVC,-,0,0.0027
20210930_0_1,2,20210930,750,0.2449,EVC,-,0,0
20210930_0_2,2,20210930,400,0.3512,EVC,+,0,0.8292
20210930_0_2,2,20210930,401,0.3508,EVC,+,0,0.8262
20210930_0_2,2,20210930,402,0.3511,EVC,+,0,0.828
20210930_0_2,2,20210930,403,0.351,EVC,+,0,0.8273
20210930_0_2,2,20210930,404,0.3504,EVC,+,0,0.823
20210930_0_2,2,20210930,405,0.3507,EVC,+,0,0.8251
20210930_0_2,2,20210930,406,0.3509,EVC,+,0,0.8264
20210930_0_2,2,20210930,407,0.3514,EVC,+,0,0.8302
20210930_0_2,2,20210930,408,0.3518,EVC,+,0,0.8334
20210930_0_2,2,20210930,409,0.3524,EVC,+,0,0.8384
20210930_0_2,2,20210930,410,0.3533,EVC,+,0,0.845
20210930_0_2,2,20210930,411,0.3536,EVC,+,0,0.8476
20210930_0_2,2,20210930,412,0.3542,EVC,+,0,0.8526
20210930_0_2,2,20210930,413,0.3549,EVC,+,0,0.858
20210930_0_2,2,20210930,414,0.3556,EVC,+,0,0.8635
20210930_0_2,2,20210930,415,0.3563,EVC,+,0,0.8689
20210930_0_2,2,20210930,416,0.357,EVC,+,0,0.8738
20210930_0_2,2,20210930,417,0.3576,EVC,+,0,0.8786
20210930_0_2,2,20210930,418,0.3579,EVC,+,0,0.8809
20210930_0_2,2,20210930,419,0.3586,EVC,+,0,0.8869
20210930_0_2,2,20210930,420,0.3591,EVC,+,0,0.8902
20210930_0_2,2,20210930,421,0.3592,EVC,+,0,0.8914
20210930_0_2,2,20210930,422,0.3595,EVC,+,0,0.8939
20210930_0_2,2,20210930,423,0.3599,EVC,+,0,0.8968
